Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
169,SQSIMP1,171.180000,,0.000000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
170,SQSIMP2,172.080000,,0.000000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
171,SQSIMP3,171.075000,,0.000000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
172,CCN1,163.260000,,0.000000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
173,CCN2,164.430000,,0.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
174,CCN3,410.487500,,0.000000,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
175,UOTTAWA,464.362500,,5.000000,Tone,91.5,91.5,023,NN,FM,12.50,,,,,,
176,POMP HU,154.680000,,0.000000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
177,POMP HU,154.770000,,0.000000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
178,POL GAT,154.980000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
179,POL GAT,154.040000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
180,POMP GA,153.980000,,0.000000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
181,CASINO,458.087500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
182,CASINO,458.662500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
183,CASINO,464.500000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
184,CASINO,466.262500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
185,SQSIMP,171.075000,,0.000000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
186,AYLMER,412.112500,,0.000000,Tone,123.0,123.0,023,NN,FM,12.50,,,,,,
187,STO1,411.837500,,0.000000,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
188,STO2,412.862500,,0.000000,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
189,CAMDEV,451.850000,,0.000000,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
190,ChFer1,160.605000,,0.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
191,ChFer2,161.115000,,0.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
192,ChFer3,161.265000,,0.000000,,100.0,100.0,023,NN,FM,5.00,S,,,,,
193,ChFer4,161.475000,,0.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
194,ChFer5,159.885000,,0.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
