Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
112,LIEN UHF,446.100000,,5.000000,TSQL,110.9,110.9,023,NN,FM,12.50,,,,,,
113,VE2CRA,443.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,S,,,,,
114,VE3MPC,444.400000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,S,,,,,
115,VE3TEL,443.800000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,S,,,,,
116,VE3TWO,444.200000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,S,,,,,
117,RIGAUD,444.000000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,S,,,,,
118,BROWNSBG,443.850000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
119,OSCAR 14,435.070000,,5.000000,,100.0,100.0,023,NN,FM,5.00,,,,,,
120,UOTTAWA,464.362500,,5.000000,Tone,91.5,91.5,023,NN,FM,12.50,,,,,,
121,FRS-1,462.562500,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
122,FRS-2*,462.587500,,5.000000,Tone,127.3,127.3,023,NN,FM,12.50,,,,,,
123,FRS-3,462.612500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
124,FRS-4,462.637500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
125,FRS-5,462.662500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
126,FRS-6,462.687500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
127,FRS-7,462.712500,,5.000000,Tone,67.0,123.0,023,NN,FM,12.50,,,,,,
128,FRS-8,467.562500,,5.000000,Tone,67.0,88.5,023,NN,FM,12.50,,,,,,
129,FRS-9,467.587500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
130,FRS-10,467.612500,,5.000000,Tone,94.8,123.0,023,NN,FM,12.50,,,,,,
131,FRS-11,467.637500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
132,FRS-12,467.662500,,5.000000,Tone,88.5,88.5,023,NN,FM,12.50,,,,,,
133,FRS-13,467.687500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
134,FRS-14,467.712500,,5.000000,,110.9,123.0,023,NN,FM,12.50,,,,,,
135,GMRS-01,462.550000,,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,,,,,,
136,GMRS-02,462.575000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
137,GMRS-03,462.600000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
138,GMRS-04,462.625000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
139,GMRS-05,462.650000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
140,GMRS-06,462.675000,,5.000000,Tone,131.8,67.0,023,NN,FM,12.50,,,,,,
141,GMRS-07,462.700000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
142,GMRS-08,462.725000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
143,GMRS-09,467.550000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
144,GMRS-10,467.575000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
145,GMRS-11,467.600000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
146,GMRS-12,467.625000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
147,GMRS-13,467.650000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
148,GMRS-14,467.675000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
149,GMRS-15,467.700000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
150,GMRS-16,467.725000,,5.000000,Tone,67.0,67.0,023,NN,FM,12.50,,,,,,
151,MURS-01,151.820000,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
